"","gps.lon","gps.lat","price","Rooms","Meters","Mezone","KK","panel","balcony_or_terrase","metro","novostavba"
"252",14.435261,50.070301,13350000,3,82,0,1,0,0,1,0
"253",14.435261,50.070301,14400000,3,98,0,1,0,0,1,0
"254",14.37509,50.069691,4400000,2,50,0,1,0,0,1,0
"255",14.434141,50.083549,3250000,1,36,0,1,0,1,1,1
"256",14.434141,50.083549,5350000,2,124,0,1,0,1,1,0
"257",14.405427,50.004593,4990000,2,54,0,1,0,0,0,0
"258",14.532846,50.034351,4800000,2,49,0,1,1,0,1,0
"259",14.342279,50.096634,8290000,4,117,0,0,0,0,1,0
"260",14.301243,50.077152,11490000,3,98,0,1,0,1,1,1
"261",14.428567,50.091202,15000000,4,138,0,1,0,1,1,0
"262",14.48547,50.084518,7300000,3,75,0,1,0,1,1,1
"263",14.456169,50.105843,10490000,3,91,0,1,0,1,1,0
"264",14.475592,50.124397,8990000,3,95,0,1,0,1,1,0
"265",14.310805,50.083157,5149000,2,50,0,1,0,1,1,0
"266",14.367316,50.094231,12401386,3,83,0,1,0,0,1,1
"267",14.503302,50.116531,5990000,3,70,0,1,1,0,1,0
"268",14.520423,50.104134,4495735,2,49,0,1,0,0,1,1
"269",14.520423,50.104134,9165123,4,108,0,1,0,1,1,1
"270",14.520423,50.104134,9195823,3,114,0,1,0,1,1,1
"271",14.446304,50.109779,8819994,3,72,0,1,0,0,1,1
"272",14.446304,50.109779,5303368,2,53,0,1,0,0,1,1
"273",14.446304,50.109779,11964881,4,118,0,1,0,0,1,1
"274",14.367316,50.094231,12215091,3,82,0,1,0,0,1,1
"275",14.30271,50.04631,5844318,2,55,0,1,0,1,1,1
"276",14.362278,50.029015,8196417,3,98,0,1,0,1,1,1
"277",14.30271,50.04631,9950990,4,118,0,1,0,1,1,1
"278",14.362278,50.029015,9708609,4,104,0,1,0,1,1,1
"279",14.30271,50.04631,8551911,3,92,0,1,0,1,1,1
"280",14.398119,50.104336,16500000,4,110,0,1,0,0,1,1
"281",14.417375,50.078289,12890000,3,82,0,1,0,0,1,0
"282",14.441019,50.086185,7100000,2,47,0,1,0,0,1,0
"283",14.563155,50.101685,5500000,2,63,0,1,0,1,1,0
"284",14.447975,50.062801,8979000,3,74,0,1,0,1,1,1
"285",14.431122,50.073044,3600000,1,24,0,1,0,0,1,0
"286",14.4915,50.043499,7937804,3,79,0,1,0,1,1,0
"287",14.502547,50.082455,5750000,2,60,0,1,1,1,1,0
"288",14.400206,50.011028,4790000,2,54,0,1,0,0,1,0
"289",14.400206,50.011028,3359000,1,29,0,1,0,1,1,0
"290",14.519035,50.103149,2499900,1,23,0,1,0,1,1,0
"291",14.435881,50.0919,5989000,1,38,0,1,0,0,1,0
"292",14.435881,50.0919,7993000,1,42,0,1,0,0,1,0
"293",14.43979,50.073288,4895000,1,24,0,1,0,1,1,0
"294",14.43979,50.073288,5777000,1,24,0,1,0,1,1,0
"295",14.422815,50.07782,8875000,1,60,0,1,0,1,1,0
"296",14.422816,50.07782,5897000,2,51,0,0,0,0,1,0
"297",14.43979,50.073288,6875000,2,31,0,1,0,1,1,0
"298",14.422815,50.07782,5490000,1,26,0,1,0,1,1,0
"299",14.435881,50.0919,4113000,1,30,0,1,0,0,1,0
"300",14.43979,50.073288,3475000,1,20,0,1,0,0,1,0
"301",14.43979,50.073288,4980000,1,28,0,1,0,0,1,0
"302",14.435881,50.0919,3990000,1,32,0,1,0,0,1,0
"303",14.434104,50.079308,4854000,1,37,0,1,0,0,1,0
"304",14.434104,50.079308,3856000,1,26,0,1,0,0,1,0
"305",14.419207,50.089706,29000000,5,128,1,0,0,1,1,0
"306",14.438061,50.075455,13000000,3,82,0,1,0,0,1,0
"307",14.424132,50.087837,10900000,2,50,0,1,0,0,1,0
"308",14.417782,50.084553,45000000,4,315,0,1,0,1,1,0
"309",14.405656,50.07531,16890750,3,100,0,1,0,0,1,0
"310",14.44587,50.089809,5600000,2,50,0,0,0,0,1,0
"311",14.443534,50.055752,6699000,3,80,0,0,0,0,1,0
"312",14.445917,50.108978,8590000,4,92,0,1,0,0,1,0
"313",14.514811,50.086533,8700000,3,93,0,1,0,1,1,0
"314",14.36276,50.083431,5750000,3,65,0,0,0,0,1,0
"315",14.416227,50.07156,11498000,4,100,0,0,0,0,1,0
"316",14.405656,50.07531,13900000,5,150,0,0,0,1,1,0
"317",14.400035,50.069656,21000000,3,115,0,1,0,1,1,0
"318",14.510936,50.104668,10492000,4,107,0,1,0,0,1,1
"319",14.515314,50.108521,9840000,3,93,0,1,0,1,1,0
"320",14.562748,50.115826,4890000,2,54,0,1,0,1,1,1
"321",14.467585,50.088337,8492000,4,100,0,1,0,0,1,0
"322",14.368997,50.088116,11992000,4,134,0,1,0,1,1,0
"323",14.421586,50.127167,4500000,4,67,0,0,1,0,1,0
"324",14.382449,50.070393,7896000,3,83,0,1,0,1,1,1
"325",14.364659,50.069057,5990000,5,97,0,0,1,0,1,0
"326",14.44612,50.06226,5980000,3,60,0,0,0,0,1,0
"327",14.41747,50.08847,12500000,3,84,0,0,0,1,1,0
"328",14.420026,50.043594,6999000,3,57,0,1,0,1,1,0
"329",14.438061,50.075455,11995000,3,116,0,1,0,1,1,0
"330",14.376785,50.134781,6250000,4,82,0,0,1,0,1,0
"331",14.43124,50.000481,2890000,1,29,0,1,1,0,0,0
"332",14.3421,50.050301,10900000,5,140,0,0,0,1,1,0
"333",14.554245,50.06723,3244200,1,28,0,1,0,1,1,1
"334",14.34201,50.08876,10900000,3,139,0,1,0,1,1,0
"335",14.424202,50.062893,7700000,2,71,0,1,0,0,1,0
"336",14.449478,50.061756,5750000,2,53,0,1,0,1,1,1
"337",14.459921,50.077751,6900000,3,81,0,0,0,0,1,0
"338",14.517772,50.044849,6150000,2,58,0,1,0,1,1,1
"339",14.476439,50.13081,4999000,4,68,0,1,1,0,1,0
"340",14.423425,50.122147,5490000,4,79,0,0,1,0,1,0
"341",14.455626,50.078979,9950000,4,107,0,0,0,0,1,0
"342",14.4559,50.0793,6350000,2,56,0,1,0,0,1,0
"343",14.51434,50.045349,5499000,2,68,0,1,0,1,1,0
"344",14.4313,50.092098,10300000,4,90,0,0,0,1,1,0
"345",14.449966,50.139896,10700000,4,110,0,1,0,1,1,1
"346",14.329325,50.058407,7900000,3,89,0,1,0,1,1,1
"347",14.282981,50.057022,7850000,3,88,0,1,0,1,1,1
"348",14.466426,50.020512,8800000,3,94,0,1,0,1,1,0
"349",14.348834,50.053108,5670000,4,80,0,0,1,0,1,0
"350",14.494849,50.076206,5850000,4,64,0,0,0,0,1,0
"351",14.416763,50.080631,12990000,4,136,1,0,0,1,1,0
"352",14.45758,50.081051,6650000,2,52,0,1,0,1,1,0
"353",14.567306,50.041462,3700000,1,37,0,1,0,1,1,1
"354",14.571678,50.102936,4790000,3,63,0,1,1,0,1,0
"355",14.404099,50.070293,3990000,1,24,0,1,0,0,1,0
"356",14.394756,50.108528,12490000,4,132,0,0,0,1,1,0
"357",14.470325,50.077419,3800000,1,35,0,1,0,0,1,0
"358",14.515314,50.108521,9200000,3,78,0,1,0,1,1,0
"359",14.42708,50.099255,8600000,4,93,0,0,0,1,1,0
"360",14.510207,50.106956,4549000,2,54,0,1,0,0,1,1
"361",14.563306,50.115292,5490000,2,74,0,1,0,1,1,0
"362",14.460467,50.066101,5990000,2,70,0,1,0,1,1,0
"363",14.421717,50.078625,26000000,4,171,0,1,0,0,1,0
"364",14.432298,50.090519,11764500,2,76,0,1,0,0,1,0
"365",14.419167,50.076977,9800000,3,103,1,1,0,0,1,0
"366",14.329184,50.037823,5375000,2,58,0,1,0,0,1,0
"367",14.584082,50.014717,3490000,2,40,0,1,0,0,1,1
"368",14.407231,50.071709,5990000,2,67,0,1,0,0,1,0
"369",14.437042,50.099586,13990000,6,148,0,0,0,0,1,0
"370",14.470881,50.115757,4290000,2,58,0,1,0,0,1,0
"371",14.508307,50.091503,2500000,1,24,0,1,0,0,1,0
"372",14.36294,50.029125,1280000,1,29,0,1,0,1,1,1
"373",14.492567,50.090179,7480000,2,97,0,1,0,1,1,0
"374",14.416895,50.116634,12900000,2,66,0,1,0,1,1,0
"375",14.377194,50.058586,4990000,2,65,0,1,0,0,1,0
"376",14.537315,50.10202,13990000,4,153,0,1,0,1,1,1
"377",14.464021,50.018211,5990000,4,70,0,1,1,0,1,0
"378",14.437592,50.069187,8587000,3,107,0,1,1,0,1,0
"379",14.452022,50.083496,5424000,2,66,0,1,0,1,1,0
"380",14.407329,50.087257,22000000,3,117,0,1,0,0,1,0
"381",14.444953,50.069256,18500000,5,155,0,0,0,0,1,0
"382",14.407329,50.087257,10500000,2,47,0,1,0,1,1,0
"383",14.358133,50.069508,3499000,1,40,0,1,0,1,1,0
"384",14.337048,50.036625,4090000,3,76,0,1,1,0,1,0
"385",14.508384,50.038155,5150000,4,80,0,0,1,0,1,0
"386",14.407872,50.067444,6885372,2,56,0,1,0,0,1,1
"387",14.532922,50.105034,10278930,3,97,0,1,0,1,1,0
"388",14.381385,50.073414,5890000,1,52,0,1,0,1,1,0
"389",14.533211,50.106022,5555494,2,55,0,1,0,1,1,0
"390",14.515314,50.108521,9840000,3,93,0,1,0,1,1,0
"391",14.412304,50.127449,8900000,3,88,0,1,0,1,1,1
"392",14.4308,50.073002,7987030,3,69,0,1,0,0,1,0
"393",14.52975,50.101421,9950000,3,86,0,1,0,1,1,0
"394",14.511156,50.117107,5750000,2,68,0,1,0,1,1,1
"395",14.547283,50.071812,6745000,3,87,0,1,0,1,1,1
"396",14.483998,50.084801,9500000,3,98,0,1,0,1,1,0
"397",14.421528,50.125919,4500000,4,69,0,0,1,0,1,0
"398",14.402683,50.020981,4916235,2,50,0,1,0,1,1,0
"399",14.462289,50.056751,5536618,2,54,0,1,0,1,1,1
"400",14.446344,50.080498,18950000,3,106,0,1,0,1,1,0
"401",14.329184,50.037823,9850000,4,101,0,1,0,1,1,0
"402",14.372895,50.036396,5730000,4,80,0,0,1,1,1,0
"403",14.4915,50.043499,5102566,2,54,0,1,0,1,1,0
"404",14.4915,50.043499,3787014,1,39,0,1,0,1,1,0
"405",14.399498,50.103619,8900000,3,71,0,0,0,0,1,0
"406",14.41051,49.999096,11500000,4,127,0,1,0,1,0,1
"407",14.487007,50.077671,6599000,3,80,0,1,0,0,1,0
"408",14.492177,50.044933,4390000,3,56,0,0,0,1,1,0
"409",14.451426,50.095104,6490000,2,49,0,1,0,1,1,1
"410",14.427281,50.043282,19990000,4,333,0,1,0,1,1,1
"411",14.458092,50.079288,5999000,2,50,0,1,0,0,1,0
"412",14.414912,50.078537,8800000,3,51,0,1,0,0,1,0
"413",14.443494,50.083076,5990000,1,41,0,1,0,0,1,0
"414",14.443494,50.083076,5990000,1,38,0,1,0,0,1,0
"415",14.443348,50.086349,5490000,1,28,0,1,0,1,1,0
